,sample,prediction,WER,runtime
0,"Joe Keaton disapproved of films, and Buster also had reservations about the medium.", Joe Keaton disapproved of films and Buster also had reservations about the medium.,0.07692307692307693,3.824209451675415
1,She'll be all right., She'd be alright.,0.75,3.133286952972412
2,six, Six.,1.0,2.9437880516052246
3,All's well that ends well., All is well that ends well.,0.4,3.2539377212524414
4,It is a busy market town that serves a large surrounding area., It is a busy market town that serves a large surrounded area.,0.08333333333333333,3.6253790855407715
5,We are going to the football game tonight., We are going to the football game tonight.,0.0,3.3775947093963623
6,Elizabeth was about the same age as Maria., Elizabeth was about the same age as Maria,0.125,3.3150877952575684
7,Do you mean it?, Do you mean it?,0.0,3.1314680576324463
8,How is Mozilla going to handle ambiguities like queue and cue?, How is Mozilla going to handle and be with this? Like Q and Q.,0.6363636363636364,3.936383008956909
9,You are so rude!, You are so rude.,0.25,3.124030828475952
10,I guess you must think I'm kinda batty., I wish you the same kind of a good luck job.,1.125,3.561710834503174
11,No one near the remote machine you could ring?, No one near the remote machine you could ring.,0.1111111111111111,3.4381930828094482
12,Groves started writing songs when she was four years old., Graff started writing songs when she was 4 years old.,0.2,3.563403606414795
13,This led to both the Red Terror and the White Terror., This led to both the red tear and the white tear.,0.36363636363636365,3.5633249282836914
14,The Sacramento Valley Rail Station is just a short walk away., The Sacramento Valley Rail Station is just a short walk away.,0.0,3.575468063354492
15,"The most recent presidents of the United States are Donald Trump, Barack Obama, and George W. Bush."," The most recent presidents of the United States are Donald Trump, Barack Obama and George W. Bush.",0.058823529411764705,4.063465595245361
16,There was nothing to hold him back except himself., There was nothing to hold him back except himself.,0.0,3.4365737438201904
17,These locomotives are serviced at Washwood Heath., These locomotives are serviced at wash wood heath.,0.42857142857142855,3.6456642150878906
18,It might be in this writer's Top Ten!, It might be in this writer's top 10.,0.25,3.441478967666626
19,We spoke often., We spoke often.,0.0,3.0706193447113037
20,Mrs. Lewis was selected as the new commissioner., Mrs. Lewis was selected as the new Commissioner.,0.125,3.453369379043579
21,The electrician looked puzzled., This is the impression you take for the looks.,2.25,19.38553214073181
22,The ladder on the fire truck was not long enough., pit ladder on the fire truck was not long enough,0.2,3.4406797885894775
23,I will tell her what we decided., I will tell her what we decided.,0.0,3.3216562271118164
24,Enoxaparin belongs to the class of drugs known as low molecular weight heparins.," Hello, good morning. A lot of parents belong to a class of kids. No one else can be a good upper-aged child.",1.4615384615384615,4.808703899383545
25,"I guess, it's a never-ending story.", I guess it's a never ending story.,0.5,3.373898506164551
26,Good things come in small packages., Good things come in small packages.,0.0,3.2669081687927246
27,It is a member theater of the Union of the Theatres of Europe., It is a member theater of the Union of the theaters of Europe.,0.07692307692307693,3.699069023132324
28,"I like apples, pears, and pomegranate, but I do like strawberries or grapes."," I like apples, pears, and pomegranate, but I do like strawberries or grapes.",0.0,4.128573417663574
29,YOU WANNA TAKE THIS OUTSIDE?, You wanna take this outside.,1.0,3.2063777446746826
30,The immersion in hot water also kills the silkworm pupa.," The immersion in hot water also kills the sick worm, Kumba.",0.3,3.7472071647644043
31,"She married her business partner, Steve Lane."," She married her business partner, Steven Lee.",0.2857142857142857,3.3836019039154053
32,Who has already arrived?, Who has already arrived?,0.0,3.1326780319213867
33,The attack on our root server overstrained our senior administrator., The ETAK on your road server overstrained our senior administrator,0.4,7.413552761077881
34,Do you want me?, Do you want me?,0.0,3.1276192665100098
35,That would be funny if he did., That would be funny if he did.,0.0,3.3124969005584717
36,"Although she had flowers and applause, Mavis said she was not content."," Although she had flowers and applause, maybe said she was not content.",0.08333333333333333,3.687772512435913
37,"When the user's identity has been accepted by the server, you will be notified."," When the user's identity has been accepted by the server, you will be notified.",0.0,3.873042106628418
38,Madin was a significant figure of post-war Birmingham architecture., Madsen was a significant figure of post-war Birmingham architecture.,0.1111111111111111,3.625810384750366
39,Add the column and put the sum here., Add the column and put the sum here.,0.0,3.379197835922241
40,"Hello, Benjamin.", Hello Benjamin.,0.5,3.017118453979492
41,"After playing tennis in virtual reality, he felt dizzy."," After playing tennis in virtual reality, he felt dizzy.",0.0,3.560242176055908
42,A mansion was usually set on a one square., a mention was usually set on a one square,0.3333333333333333,3.3937973976135254
43,Have you the key?, Have you the key?,0.0,3.122004508972168
44,Rapidan Campaign May–June., It's campaign made too,1.3333333333333333,3.1433892250061035
45,"Alston commented that he felt the cartoonist ""might have had some racial intent"".", Alstone commented that he felt the cartoonist might have had some racial intent.,0.23076923076923078,3.8120954036712646
46,Doing a handstand needs a lot of practice to learn., Doing a handstand needs a lot of practice to learn.,0.0,3.5652480125427246
47,Man in red tshirt and baseball cap viewed from above he is has a pile of posters, Man in red t-shirt and baseball cap viewed from above he is has a pile of posture,0.11764705882352941,4.001376152038574
48,The two films were then released within one day of each other., The two films were then released within one day of each other.,0.0,3.6347835063934326
49,‘What did he say his name was?’ asked the captain., What did he say his name was? I asked the captain.,0.3,3.7622900009155273
50,"At the hospital, I met a very nice nurse.", At the hospital I met a very nice nurse.,0.1111111111111111,3.4413645267486572
51,yes, Yes.,1.0,2.941136360168457
52,He received his Ph., He received his pH dot.,0.5,3.1918745040893555
53,"Since their inception, Harris has been the band's principal composer and lyricist.", Men In,1.0,23.56230902671814
54,"After experiencing a mind-blowing sensual orgy, Mike was sure he had taken an overdose."," After experiencing a mind-blowing sensual orgy, Mike's was sure he had taken all of her dose.",0.35714285714285715,4.432591438293457
55,Religious festivals include the Muslim Eids and the Christian Christmas and Easter., Religious festivals include the Muslim Eats and the Christian Christmas and Easter.,0.08333333333333333,3.6918160915374756
56,"What do you advise, sir?"," What do you advise, sir?",0.0,3.2502005100250244
57,"Charles looked on, angry that there was nothing he could do.", Charles looked on angry that there was nothing he could do.,0.09090909090909091,3.5646960735321045
58,Alexandria and Texas were shut down mid-season., Alexandria and Texas were shut down mid-season.,0.0,3.440676689147949
59,"Karina Smirnoff of ""Dancing With The Stars"" hosted the following month.", Karina S of dancing with the stars hosted the following month,0.5454545454545454,3.691164493560791
60,It is inhibited by the pneumotaxic centre., It is inhibited by the pneumotoxic center.,0.2857142857142857,3.449819803237915
61,Her intro later appeared on the David Holmes Essential Collection., Her intro later appeared on the David Holmes Essential Collection.,0.0,3.520043134689331
62,An important person in the life of Emile Claus was the painter Jenny Montigny., An important person in the life of a male cause was the creator Jamie Montegna.,0.42857142857142855,3.9534997940063477
63,"In the United States, Federal Vehicle fleets refers to the federal government's vehicles."," In the United States, federal vehicle fleets refer to the federal government's vehicles.",0.23076923076923078,3.823040246963501
64,There is also a garnet mine in West Redding., There is also a garnet mine in West Reading.,0.1111111111111111,3.514770269393921
65,"They hastily drive to the plane, and flee from the dangers of the mob.", They hastily drive to the plane and flee from the dangers of the mob.,0.07142857142857142,3.7575862407684326
66,"It was won by a woman from Vara, Sweden."," It was won by a woman from Barra, Sweden, Bündy.",0.3333333333333333,3.8693177700042725
67,The prints are then delivered to the customer., The prints are then delivered to the customer.,0.0,3.3782434463500977
68,There was a long silence., There was long silence.,0.2,3.129504919052124
69,Maybe he just put it there for safe keeping?, Maybe he just put it there for safekeeping.,0.2222222222222222,3.438610792160034
70,"In spite of this, I still believed that there were men in Mars.", In spite of this I still believe that there were men and marks.,0.3076923076923077,3.69207763671875
71,"The land was ruined, and I had to find some other way to earn a living."," The land was failed, I had to find some other way to end the week.",0.3125,3.8788113594055176
72,"I pointed out Mars, a bright dot of light."," I pointed out Mars, a bright dot of light.",0.0,3.500187873840332
73,I wondered if those birds were redwings?, I wondered if those birds were red wings.,0.2857142857142857,3.375593423843384
74,The state plans to re-work those curves to improve safety., The state plans to rework those curves to improve safety.,0.1,3.571998357772827
75,He ended up running to the bars which fortified the windows of the first floor., He ended up running to the bars which fortified the windows of the first floor.,0.0,3.8209009170532227
76,"She takes him to the lift, sending him downwards."," She takes him to the leaf, sending him downwards.",0.1111111111111111,3.520688772201538
77,"I know why I want to get back to my flock, he thought."," I know why I want to get back to my block, he thought.",0.07692307692307693,3.7681005001068115
78,She is married to the rapper and playwright Baba Brinkman., She is married to the rapper and playwright Baba Brinkman.,0.0,3.764566659927368
79,"Many notable problem and study composers are also International Judges, including Genrikh Kasparyan.", Many notable problem and steady composers are also international judges including Gendrik Kasparian.,0.38461538461538464,4.122880458831787
80,Do you have Hugo's phone number?, Do you have Hugo's phone number?,0.0,3.316338539123535
81,"You should see the other guy, specifically, how good at fighting he is."," You should see the other guy, specifically how good at fighting he is.",0.07692307692307693,3.7500791549682617
82,He is of African-American and Italian descent., He is of African American and Italian descent.,0.2857142857142857,3.3743245601654053
83,Lord Kingsdown funded the Kingsdown Church., Lord King's Down funded the King's Down Church,0.8333333333333334,3.4425652027130127
84,That's not Carson Sphinx., That's not Carson Spinks.,0.25,3.252743721008301
85,Lorenz is listed as a Swiss heritage site of national significance., Lorange is listed as a Swiss heritage site of national significance.,0.09090909090909091,3.6243417263031006
86,I have never in life hit a tennis ball., I have never in life hit a tennis ball.,0.0,3.4382946491241455
87,No runoff was necessary., No run-off was necessary.,0.25,3.2563843727111816
88,He is the first known and undisputed member of the Gediminids., He is the first known and undisputed member of the Gemini.,0.09090909090909091,3.636867046356201
89,"When it comes to the crunch, our company will become insolvent."," When it comes to the crunch, our company will become insolvent.",0.0,3.704149007797241
90,Lion Rock is located north west of Wong Tai Sin., Lion Rock is located northwest of Wong Tai Sing.,0.3,3.4376277923583984
91,He also established new schools throughout Spain., He also established new schools for outspeak.,0.2857142857142857,3.3944058418273926
92,Backface culling is a common trick to accelerate Three-D rendering., Back face culling is a common trick to accelerate 3D rendering.,0.3,3.6885900497436523
93,At dusk the Greek western flank was broken., At dusk the Greek western flank was broken through.,0.25,3.439396381378174
94,We should not take for granted how fortunate we have been., We should not take for granted how fortunate we have been.,0.0,3.5652966499328613
95,"Topical and up-to-the-minute, E!", Topical and up to the minute E.,1.25,3.386171817779541
96,The farmer works the soil and produces grain., The farmer works the soil and produces grain.,0.0,3.3762757778167725
97,Don’t you understand me?, Don't you understand me?,0.25,3.1923110485076904
98,They found one such edge in Fairbairn's system., They found one such edge in Fairway and system.,0.25,3.4979021549224854
99,eight, 8,1.0,8.557608604431152
100,"""The wind told me that you know about love"" the boy said to the sun."," Luin told me that you know about life, the boy said to the son.",0.26666666666666666,3.9006171226501465
101,Geils began playing jazz trumpet but eventually switched to blues guitar., Jails began playing gas trumpet but everyone surely should check to blues guitar,0.6363636363636364,3.704606056213379
102,That man is your brother?, That man is your brother?,0.0,3.189797878265381
103,There is a small Vicinity Centres shopping complex in Albion Park., There is a small vicinity center shopping complex in Albion Park.,0.18181818181818182,3.5803608894348145
104,The students colored with their crayons., The student is colored with their crayons.,0.3333333333333333,3.4404854774475098
105,It seemed to him that it fell to earth about one hundred miles east of here., It seemed to him that it fell to Earth about 100 miles east here.,0.25,3.747727632522583
106,As such it is face uniform but with irregular face polygons.," As such it is, face uniform but with irregular face polygons.",0.09090909090909091,3.6879634857177734
107,A tame squirrel makes a nice pet., A tame squirrel makes a nice pet.,0.0,3.314340829849243
108,He took the fourth part and handed it to the monk., He took the first shot and handed it to the monk.,0.18181818181818182,3.568203926086426
109,He is a right-handed batsman and a left-arm slow bowler., Here is a right handed batsman and a left arm slow bowler.,0.5,3.7535712718963623
110,Cador is also said to be of Roman stock., Kador is also said to be of Roman stock.,0.1111111111111111,3.5077521800994873
111,Where will you go?, Where will you go?,0.0,3.1360838413238525
112,Get out of this!, cannot of this,0.75,3.004140853881836
113,Only John Wayne himself surpassed McGrath in scenes in this movie., Only John went himself surpassed Macbeth in scenes in this moment.,0.2727272727272727,3.70342755317688
114,This will lead the world to more sound and fury., This will lead the world to more sound and fury.,0.0,3.5103251934051514
115,Vera Schlink is a talented fund manager. She works in Vienna., Vera Schling is a talented fan manager. She works in Vienna.,0.18181818181818182,3.700817584991455
116,"During the epoch, a majority of the city's buildings were erected."," During the epoch, a majority of the city's buildings were erected.",0.0,3.7044966220855713
117,Parent's Day is celebrated by both the public and the government., Parent date is celebrated by both the public and the government.,0.18181818181818182,3.5646581649780273
