,sample,prediction,WER,runtime
0,"Joe Keaton disapproved of films, and Buster also had reservations about the medium.",Joel Keaton disapproved of films and Buster also had reservations about the medium.,0.15384615384615385,17.36853551864624
1,She'll be all right.,She'll be alright.,0.5,16.256603479385376
2,six,Six.,1.0,15.801858901977539
3,All's well that ends well.,All is well that ends well.,0.4,16.196910619735718
4,It is a busy market town that serves a large surrounding area.,It is a busy market town that serves a large surrounded area.,0.08333333333333333,16.577627420425415
5,We are going to the football game tonight.,We are going to the football game tonight.,0.0,16.322277784347534
6,Elizabeth was about the same age as Maria.,Elizabeth was about the same age as Maria,0.125,16.292680501937866
7,Do you mean it?,Do you mean it?,0.0,16.029046535491943
8,How is Mozilla going to handle ambiguities like queue and cue?,How is Mozilla going to handle ambiguities like queue and queue?,0.09090909090909091,16.74855065345764
9,You are so rude!,You are so rude.,0.25,16.049466848373413
10,I guess you must think I'm kinda batty.,Wish you the same kind of a lucky one.,1.125,16.34806251525879
11,No one near the remote machine you could ring?,No one near the remote machine you could ring.,0.1111111111111111,16.677130222320557
12,Groves started writing songs when she was four years old.,Graves started writing songs when she was 4 years old.,0.2,16.435508012771606
13,This led to both the Red Terror and the White Terror.,This led to both the red tear and the white tear.,0.36363636363636365,16.508214473724365
14,The Sacramento Valley Rail Station is just a short walk away.,The Sacramento Valley Rail Station is just a short walk away.,0.0,16.507850885391235
15,"The most recent presidents of the United States are Donald Trump, Barack Obama, and George W. Bush.","The most recent presidents of the United States are Donald Trump, Barack Obama, and George W. Bush.",0.0,17.164624214172363
16,There was nothing to hold him back except himself.,There was nothing to hold him back except himself.,0.0,16.448685884475708
17,These locomotives are serviced at Washwood Heath.,These locomotives are serviced at Washwood Heath.,0.0,16.557559967041016
18,It might be in this writer's Top Ten!,it might be in this writers top 10,0.5,16.149729013442993
19,We spoke often.,We spoke often.,0.0,15.846733093261719
20,Mrs. Lewis was selected as the new commissioner.,Mrs. Lewis was selected as the new commissioner.,0.0,16.27074408531189
21,The electrician looked puzzled.,I'll do the adaptation loop puzzle,1.5,16.605882167816162
22,The ladder on the fire truck was not long enough.,The ladder on the fire truck was not long enough.,0.0,16.328932285308838
23,I will tell her what we decided.,[inaudible],1.0,15.921611309051514
24,Enoxaparin belongs to the class of drugs known as low molecular weight heparins.,"Hello, good morning. A lot belongs to the classical books.",1.0,21.544825792312622
25,"I guess, it's a never-ending story.",I guess it's a never-ending story.,0.16666666666666666,16.63459825515747
26,Good things come in small packages.,Good things come in small packages.,0.0,16.097907066345215
27,It is a member theater of the Union of the Theatres of Europe.,It is a member theater of the Union of the Theatres of Europe.,0.0,16.784210443496704
28,"I like apples, pears, and pomegranate, but I do like strawberries or grapes.","I like apples, pears, and pomegranate, but I do like strawberries or grapes.",0.0,17.12485432624817
29,YOU WANNA TAKE THIS OUTSIDE?,You wanna take this outside.,1.0,16.144055128097534
30,The immersion in hot water also kills the silkworm pupa.,The immersion in hot water also kills the sick worm poopa.,0.3,16.826639890670776
31,"She married her business partner, Steve Lane.",She married her business partner Steven Li.,0.42857142857142855,16.27818751335144
32,Who has already arrived?,Who has already arrived?,0.0,15.926642656326294
33,The attack on our root server overstrained our senior administrator.,kingdom attack on your road server overstrained our senior administrator,0.4,16.280805587768555
34,Do you want me?,Do you want me?,0.0,16.006635904312134
35,That would be funny if he did.,That would be funny if he did.,0.0,16.187646627426147
36,"Although she had flowers and applause, Mavis said she was not content.",Although she had flowers and applause may be said she was not content.,0.25,16.622233629226685
37,"When the user's identity has been accepted by the server, you will be notified.","When the user's identity has been accepted by the server, you will be notified.",0.0,16.817412853240967
38,Madin was a significant figure of post-war Birmingham architecture.,Madden was a significant figure of post-war Birmingham architecture.,0.1111111111111111,16.440006732940674
39,Add the column and put the sum here.,Add the column and put the sum here.,0.0,16.26484751701355
40,"Hello, Benjamin.","Hello, Benjamin.",0.0,15.926581144332886
41,"After playing tennis in virtual reality, he felt dizzy.","After playing tennis in virtual reality, he felt dizzy.",0.0,16.473104238510132
42,A mansion was usually set on a one square.,A mention was usually sit on A1 square.,0.4444444444444444,16.32434391975403
43,Have you the key?,Have you the key?,0.0,16.008509635925293
44,Rapidan Campaign May–June.,campaign made to,1.0,16.01945185661316
45,"Alston commented that he felt the cartoonist ""might have had some racial intent"".",Al Stone commented that he felt the cartoonist might have had some racial intent.,0.3076923076923077,16.714601516723633
46,Doing a handstand needs a lot of practice to learn.,Doing a handstand needs a lot of practice to learn.,0.0,16.37920904159546
47,Man in red tshirt and baseball cap viewed from above he is has a pile of posters,Man in red t-shirt and baseball cap viewed from above he has a pile of postures.,0.17647058823529413,17.047112226486206
48,The two films were then released within one day of each other.,The two films were then released within one day of each other.,0.0,16.47888445854187
49,‘What did he say his name was?’ asked the captain.,"""What did he say his name was?"" asked the captain.",0.2,16.658989906311035
50,"At the hospital, I met a very nice nurse.","At the hospital, I met a very nice nurse.",0.0,16.414926052093506
51,yes,yes,0.0,15.753095388412476
52,He received his Ph.,He received his pH dot.,0.5,16.10885787010193
53,"Since their inception, Harris has been the band's principal composer and lyricist.","""I will not be able to speak in the name of the Lord, but I will be able to speak in the name of the Lord.""",2.0833333333333335,18.690097332000732
54,"After experiencing a mind-blowing sensual orgy, Mike was sure he had taken an overdose.","After experiencing a mind-blowing sensual orgy, Mike was sure he had taken a lower dose.",0.21428571428571427,17.271196842193604
55,Religious festivals include the Muslim Eids and the Christian Christmas and Easter.,Religious festivals include the Muslim Eid and the Christian Christmas and Easter.,0.08333333333333333,16.658713817596436
56,"What do you advise, sir?","What do you advise, sir?",0.0,16.18253183364868
57,"Charles looked on, angry that there was nothing he could do.","Charles looked on, angry that there was nothing he could do.",0.0,16.558886289596558
58,Alexandria and Texas were shut down mid-season.,Alexandria and Texas were shut down mid-season.,0.0,16.35813593864441
59,"Karina Smirnoff of ""Dancing With The Stars"" hosted the following month.",Karina Smurinoff of Dancing with the Stars hosted the following month.,0.45454545454545453,16.811201095581055
60,It is inhibited by the pneumotaxic centre.,It is inhibited by the Pneumotoxic Center.,0.2857142857142857,16.44128394126892
61,Her intro later appeared on the David Holmes Essential Collection.,Her intro later appeared on the David Holmes Essential Collection.,0.0,16.320549488067627
62,An important person in the life of Emile Claus was the painter Jenny Montigny.,An important person in the life of Amir Cross was the creator Jimmy Montigny.,0.2857142857142857,16.86180853843689
63,"In the United States, Federal Vehicle fleets refers to the federal government's vehicles.","In the United States, federal vehicle fleets refer to the federal government's vehicles.",0.23076923076923078,16.768803119659424
64,There is also a garnet mine in West Redding.,There is also a garnet mine in West Reading.,0.1111111111111111,16.42301893234253
65,"They hastily drive to the plane, and flee from the dangers of the mob.",They hastily drive to the plane and flee from the dangers of the mob.,0.07142857142857142,16.71591877937317
66,"It was won by a woman from Vara, Sweden.",It was when a woman from Vara sweated him.,0.5555555555555556,16.622583389282227
67,The prints are then delivered to the customer.,The prints are then delivered to the customers.,0.125,16.27970242500305
68,There was a long silence.,There was a long silence.,0.0,16.070146083831787
69,Maybe he just put it there for safe keeping?,Maybe he just put it there for safekeeping?,0.2222222222222222,16.35550570487976
70,"In spite of this, I still believed that there were men in Mars.",In spite of this I still believe that there were men in Mars.,0.15384615384615385,16.70674705505371
71,"The land was ruined, and I had to find some other way to earn a living.",The land was filled I had to find some other way to end it.,0.3125,16.706641912460327
72,"I pointed out Mars, a bright dot of light.",I pointed out Mars a bright dot of light.,0.1111111111111111,16.366217136383057
73,I wondered if those birds were redwings?,I wondered if those birds were red wings.,0.2857142857142857,16.128963470458984
74,The state plans to re-work those curves to improve safety.,The state plans to rework those groups to improve safety.,0.2,16.36909794807434
75,He ended up running to the bars which fortified the windows of the first floor.,He ended up running to the bars which fortified the windows of the first floor.,0.0,16.728885173797607
76,"She takes him to the lift, sending him downwards.",She take him to the leaf sending him downwards.,0.2222222222222222,16.35361671447754
77,"I know why I want to get back to my flock, he thought.","""I know why I want to get back to my flock,"" he thought.",0.15384615384615385,16.701992750167847
78,She is married to the rapper and playwright Baba Brinkman.,She is married to the rapper and playwright Baba Brinkman.,0.0,16.74443030357361
79,"Many notable problem and study composers are also International Judges, including Genrikh Kasparyan.",Many notable problem and study composers are also international judges including Gendrick Kasparian.,0.3076923076923077,16.95184636116028
80,Do you have Hugo's phone number?,Do you have Hugo's phone number?,0.0,16.234397649765015
81,"You should see the other guy, specifically, how good at fighting he is.","You should see the other guy, specifically how good at fighting he is.",0.07692307692307693,16.718540906906128
82,He is of African-American and Italian descent.,He is of African American and Italian descent.,0.2857142857142857,16.292136907577515
83,Lord Kingsdown funded the Kingsdown Church.,Lord King's Down funded the King's Down Church.,0.6666666666666666,16.292468070983887
84,That's not Carson Sphinx.,That's not Carson Spinks.,0.25,16.17387866973877
85,Lorenz is listed as a Swiss heritage site of national significance.,Orange is listed as a Swiss heritage site of national significance.,0.09090909090909091,16.457372426986694
86,I have never in life hit a tennis ball.,I have never in life hit a tennis ball.,0.0,16.33987593650818
87,No runoff was necessary.,No runoff was necessary.,0.0,16.07947278022766
88,He is the first known and undisputed member of the Gediminids.,He is the first known and undisputed member of the Geminids.,0.09090909090909091,16.74154567718506
89,"When it comes to the crunch, our company will become insolvent.","When it comes to the crunch, our company will become insolvent.",0.0,16.639527320861816
90,Lion Rock is located north west of Wong Tai Sin.,Lion Rock is located northwest of Wong Thai Sing.,0.4,16.34283208847046
91,He also established new schools throughout Spain.,He also established new schools throughout Spain.,0.0,16.3590030670166
92,Backface culling is a common trick to accelerate Three-D rendering.,Back face culling is a common trick to accelerate 3D rendering.,0.3,16.613152980804443
93,At dusk the Greek western flank was broken.,"At dusk, the Greek western flank was broken.",0.125,16.369338035583496
94,We should not take for granted how fortunate we have been.,We should not take for granted how fortunate we have been.,0.0,16.47433352470398
95,"Topical and up-to-the-minute, E!",Topical and up to the minute e.,1.25,16.372732877731323
96,The farmer works the soil and produces grain.,The farmer works the soil and produces grain.,0.0,16.30773138999939
97,Don’t you understand me?,Don't you understand me?,0.25,16.1426100730896
98,They found one such edge in Fairbairn's system.,They found one such edge in Fairbairn's system.,0.0,16.514511108398438
99,eight,Eight.,1.0,15.865798234939575
100,"""The wind told me that you know about love"" the boy said to the sun.","The wind taught me that you know about love, the boy said to the sun.",0.2,16.8848934173584
101,Geils began playing jazz trumpet but eventually switched to blues guitar.,"Jayles began playing jazz trumpet, but Evan surely switched to blues guitar.",0.36363636363636365,16.98575758934021
102,That man is your brother?,That man is your brother?,0.0,16.116302013397217
103,There is a small Vicinity Centres shopping complex in Albion Park.,There is a small vicinity centers shopping complex in Albion Park.,0.18181818181818182,16.62689709663391
104,The students colored with their crayons.,The students colored with their crayons.,0.0,16.30016851425171
105,It seemed to him that it fell to earth about one hundred miles east of here.,It seems to him that it fell to earth about 100 miles east here.,0.25,16.75674867630005
