,sample,prediction,WER,runtime
0,"Joe Keaton disapproved of films, and Buster also had reservations about the medium.",Joe Keaton disapproved of films and Buster also had reservations about the media.,0.15384615384615385,1.5851688385009766
1,She'll be all right.,Should be alright.,0.75,1.4422855377197266
2,six,Six.,1.0,1.4269967079162598
3,All's well that ends well.,"All is well, that ends well.",0.6,1.4892246723175049
4,It is a busy market town that serves a large surrounding area.,It is a busy market town that serves a large surrounded area.,0.08333333333333333,1.547835350036621
5,We are going to the football game tonight.,They're going to the football game tonight.,0.25,1.6731607913970947
6,Elizabeth was about the same age as Maria.,It's about the same age as Maria.,0.25,1.835888147354126
7,Do you mean it?,Do you mean it?,0.0,1.6452820301055908
8,How is Mozilla going to handle ambiguities like queue and cue?,How is Mozilla going to handle and be with this like cube and cube?,0.5454545454545454,1.744870662689209
9,You are so rude!,You are so rude.,0.25,1.592473030090332
10,I guess you must think I'm kinda batty.,Questions in and up to you.,1.0,1.6327354907989502
11,No one near the remote machine you could ring?,No one near the remote machine you could ring.,0.1111111111111111,1.6998672485351562
12,Groves started writing songs when she was four years old.,Graphs started writing songs when she was 4 years old.,0.2,1.7093076705932617
13,This led to both the Red Terror and the White Terror.,This led to both the red tear and the white tear.,0.36363636363636365,1.7194020748138428
14,The Sacramento Valley Rail Station is just a short walk away.,The Sacramento Valley Rail Station is just a short walk away.,0.0,1.7454326152801514
15,"The most recent presidents of the United States are Donald Trump, Barack Obama, and George W. Bush.","The most recent presidents of the United States are Donald Trump, Barack Obama and George W. Bush.",0.058823529411764705,1.8281700611114502
16,There was nothing to hold him back except himself.,There was nothing to hold him back except himself.,0.0,1.6605401039123535
17,These locomotives are serviced at Washwood Heath.,These locomotives are serviced at Washwood Heath.,0.0,1.7255558967590332
18,It might be in this writer's Top Ten!,It might be in this writer's top 10.,0.25,1.6242194175720215
19,We spoke often.,We spoke of them.,0.6666666666666666,1.5908291339874268
20,Mrs. Lewis was selected as the new commissioner.,Mrs. Lewis was selected as the new commissioner.,0.0,1.6604225635528564
21,The electrician looked puzzled.,We will do the creation look for the looks.,2.25,1.6362183094024658
22,The ladder on the fire truck was not long enough.,A letter on the fire truck was not long enough.,0.2,1.6946897506713867
23,I will tell her what we decided.,I will tell her what we decided.,0.0,1.624023199081421
24,Enoxaparin belongs to the class of drugs known as low molecular weight heparins.,"Hello, this one along the way and it belongs to the class, so let's go and have a good happen.",1.3076923076923077,1.899994134902954
25,"I guess, it's a never-ending story.",I guess it's a never-ending story.,0.16666666666666666,1.6379144191741943
26,Good things come in small packages.,Good things come in small packages.,0.0,1.6293606758117676
27,It is a member theater of the Union of the Theatres of Europe.,It is a member of the Union of the Theaters of Europe.,0.15384615384615385,1.7160918712615967
28,"I like apples, pears, and pomegranate, but I do like strawberries or grapes.","I like apples, pears, and pomegranate, but I do like strawberries or grapes.",0.0,1.8762519359588623
29,YOU WANNA TAKE THIS OUTSIDE?,You wanna take this outside.,1.0,1.5815975666046143
30,The immersion in hot water also kills the silkworm pupa.,The immersion in hot water also kills the sick form.,0.2,1.7130305767059326
31,"She married her business partner, Steve Lane.",She married her business partner Stephen Lee.,0.42857142857142855,1.6646993160247803
32,Who has already arrived?,Luja's already arrived!,0.75,1.7425589561462402
33,The attack on our root server overstrained our senior administrator.,"that it takes on your road server of our train, our senior administrator.",0.8,1.9280614852905273
34,Do you want me?,Do you want me?,0.0,1.577651023864746
35,That would be funny if he did.,That would be funny if he did.,0.0,1.6497504711151123
36,"Although she had flowers and applause, Mavis said she was not content.",Although she had flowers and applause may be said she was not content,0.3333333333333333,1.7253267765045166
37,"When the user's identity has been accepted by the server, you will be notified.","When the user's identity has been accepted by the server, you will be notified.",0.0,1.7947688102722168
38,Madin was a significant figure of post-war Birmingham architecture.,Madden was a significant figure of post-war Birmingham architecture.,0.1111111111111111,1.6760661602020264
39,Add the column and put the sum here.,Add the column and put the sum here.,0.0,1.6518499851226807
40,"Hello, Benjamin.",Hello Benjamin.,0.5,1.5475316047668457
41,"After playing tennis in virtual reality, he felt dizzy.","After playing tennis and virtual reality, he felt dizzy.",0.1111111111111111,1.672309160232544
42,A mansion was usually set on a one square.,A mention was usually sheet on a 1 square.,0.3333333333333333,1.6268529891967773
43,Have you the key?,Have you the key?,0.0,1.5773119926452637
44,Rapidan Campaign May–June.,Be them campaign made June.,1.6666666666666667,1.5800259113311768
45,"Alston commented that he felt the cartoonist ""might have had some racial intent"".",Alston commented that he felt the cartoonist might have had some racial intent.,0.15384615384615385,1.8104958534240723
46,Doing a handstand needs a lot of practice to learn.,Doing a handstand needs a lot of practice to learn.,0.0,1.699453353881836
47,Man in red tshirt and baseball cap viewed from above he is has a pile of posters,Man in reality shirt and baseball cap viewed from above he has a pile of posture.,0.23529411764705882,1.740598440170288
48,The two films were then released within one day of each other.,The two films were then released within one day of each other.,0.0,1.7416927814483643
49,‘What did he say his name was?’ asked the captain.,What did he say his name was asked the captain?,0.3,1.6713440418243408
50,"At the hospital, I met a very nice nurse.",Got me hospital. I met a very nice nurse.,0.3333333333333333,1.6952683925628662
51,yes,Yes.,1.0,1.5536415576934814
52,He received his Ph.,He received his PH dot.,0.5,1.6314573287963867
53,"Since their inception, Harris has been the band's principal composer and lyricist.",(speaking in foreign language),1.0,1.7458610534667969
54,"After experiencing a mind-blowing sensual orgy, Mike was sure he had taken an overdose.","After experiencing a mind-blowing sense wall orgy, Marx was sure he had taken all over those.",0.42857142857142855,1.859039306640625
55,Religious festivals include the Muslim Eids and the Christian Christmas and Easter.,Religious festivals include the Muslim Ids and the Christian Christmas and Easter.,0.08333333333333333,1.770444393157959
56,"What do you advise, sir?","What are you advised, sir?",0.4,1.6148898601531982
57,"Charles looked on, angry that there was nothing he could do.",Charles looked on angry that there was nothing he could do.,0.09090909090909091,1.6932086944580078
58,Alexandria and Texas were shut down mid-season.,Alexandria and Texas were shut down mid-season.,0.0,1.6423709392547607
59,"Karina Smirnoff of ""Dancing With The Stars"" hosted the following month.","Karina is full enough of dancing with the stars, hosted the following month.",0.6363636363636364,1.782073736190796
60,It is inhibited by the pneumotaxic centre.,It is inhibited by the Numa Toxic Center.,0.42857142857142855,1.648585557937622
61,Her intro later appeared on the David Holmes Essential Collection.,Her intro later appeared on the David Holmes essential collection.,0.2,1.7082056999206543
62,An important person in the life of Emile Claus was the painter Jenny Montigny.,An important person in his life was the painter Jamie Monteki.,0.42857142857142855,1.7090239524841309
