,sample,prediction,WER,runtime
0,"Joe Keaton disapproved of films, and Buster also had reservations about the medium.",Joe Keaton disapproved of films and Buster also had reservations about the media.,0.15384615384615385,1.6601474285125732
1,She'll be all right.,Should be alright.,0.75,1.547447919845581
2,six,Six.,1.0,1.5000255107879639
3,All's well that ends well.,"All is well, that ends well.",0.6,1.5677237510681152
4,It is a busy market town that serves a large surrounding area.,It is a busy market town that serves a large surrounded area.,0.08333333333333333,1.6181035041809082
5,We are going to the football game tonight.,You're going to the football game tonight.,0.25,1.5676844120025635
6,Elizabeth was about the same age as Maria.,It's about the same age as Maria.,0.25,1.6993212699890137
7,Do you mean it?,Do you mean it?,0.0,1.5371639728546143
8,How is Mozilla going to handle ambiguities like queue and cue?,How is Mozilla going to handle and be with this like cube and cube?,0.5454545454545454,1.645096778869629
9,You are so rude!,You are so rude.,0.25,1.5282342433929443
10,I guess you must think I'm kinda batty.,Questions in hand and up to you.,1.0,1.5594539642333984
11,No one near the remote machine you could ring?,No one near the remote machine you could ring.,0.1111111111111111,1.5839717388153076
12,Groves started writing songs when she was four years old.,Grasp is spotted writing songs when she was 4 years old.,0.4,1.642392873764038
13,This led to both the Red Terror and the White Terror.,This led to both the red tear and the white tear.,0.36363636363636365,1.6004846096038818
14,The Sacramento Valley Rail Station is just a short walk away.,The Sacramento Valley Rail Station is just a short walk away.,0.0,1.6101031303405762
15,"The most recent presidents of the United States are Donald Trump, Barack Obama, and George W. Bush.","The most recent presidents of the United States are Donald Trump, Barack Obama, and George W. Bush.",0.0,1.6980724334716797
16,There was nothing to hold him back except himself.,"There was nothing to hold him back, except himself.",0.1111111111111111,1.5878725051879883
17,These locomotives are serviced at Washwood Heath.,These locomotives are serviced at Washwood Heath.,0.0,1.612410545349121
18,It might be in this writer's Top Ten!,It might be in this writer's top 10.,0.25,1.5759570598602295
19,We spoke often.,We spoke of them.,0.6666666666666666,1.5282022953033447
20,Mrs. Lewis was selected as the new commissioner.,Mrs. Lewis was selected as the new commissioner.,0.0,1.6507501602172852
21,The electrician looked puzzled.,We do that to show you the results.,2.0,1.564197063446045
22,The ladder on the fire truck was not long enough.,The weather on the fire truck was not long enough.,0.1,1.5947496891021729
23,I will tell her what we decided.,will tell her what we decided.,0.14285714285714285,1.5419402122497559
24,Enoxaparin belongs to the class of drugs known as low molecular weight heparins.,"Hello, this morning. A lot of perine belongs to a class of goods, so let's go and have a good happen.",1.3076923076923077,1.7795517444610596
25,"I guess, it's a never-ending story.",I guess it's a never-ending story.,0.16666666666666666,1.5728445053100586
26,Good things come in small packages.,Good things come in small packages.,0.0,1.5427589416503906
27,It is a member theater of the Union of the Theatres of Europe.,It is a member of the Union of the Theaters of Europe.,0.15384615384615385,1.703181266784668
28,"I like apples, pears, and pomegranate, but I do like strawberries or grapes.","I like apples, pears, and pomegranate, but I do like strawberries or grapes.",0.0,1.7026393413543701
29,YOU WANNA TAKE THIS OUTSIDE?,You wanna take this outside.,1.0,1.5426709651947021
30,The immersion in hot water also kills the silkworm pupa.,The immersion in hot water also kills the sick form.,0.2,1.6048154830932617
31,"She married her business partner, Steve Lane.",She married her business partner Stephen Lee.,0.42857142857142855,1.564211368560791
32,Who has already arrived?,Luke has already arrived.,0.5,1.5290191173553467
33,The attack on our root server overstrained our senior administrator.,"Then it take on your road server of a strange, our senior administrator.",0.8,1.618187665939331
34,Do you want me?,Do you want me?,0.0,1.530564785003662
35,That would be funny if he did.,That would be funny if you did.,0.14285714285714285,1.6166324615478516
36,"Although she had flowers and applause, Mavis said she was not content.","Although she had flowers and applause, may be said she was not content.",0.16666666666666666,1.633720874786377
37,"When the user's identity has been accepted by the server, you will be notified.","When the user's identity has been accepted by the server, you will be notified.",0.0,1.6576242446899414
38,Madin was a significant figure of post-war Birmingham architecture.,Madden was a significant figure of post-war Birmingham architecture.,0.1111111111111111,1.6944975852966309
