,sample,prediction,WER,runtime
0,"Joe Keaton disapproved of films, and Buster also had reservations about the medium.", Joe Keaton disapproved of films and Buster also had reservations about the medium.,0.07692307692307693,1.2728254795074463
1,She'll be all right., Should be alright.,0.75,0.9748241901397705
2,six, Six.,1.0,0.9270932674407959
3,All's well that ends well.," All is well, that ends well.",0.6,1.0739052295684814
4,It is a busy market town that serves a large surrounding area., It is a busy market town that serves a large surrounded area.,0.08333333333333333,1.1949429512023926
5,We are going to the football game tonight., We are going to the football game tonight.,0.0,1.095935344696045
6,Elizabeth was about the same age as Maria., The other of this is my,1.0,6.260376930236816
7,Do you mean it?, Do you mean it?,0.0,1.0023343563079834
8,How is Mozilla going to handle ambiguities like queue and cue?, How is Mozilla going to handle and be with this? Like cube and cube.,0.6363636363636364,1.323587417602539
9,You are so rude!, You are so rude.,0.25,0.9992518424987793
10,I guess you must think I'm kinda batty., Questions in and up to you?,1.0,1.0736150741577148
11,No one near the remote machine you could ring?, No one near the remote machine you could ring.,0.1111111111111111,1.130486249923706
12,Groves started writing songs when she was four years old., Grafts spotted writing songs when she was 4 years old.,0.3,1.1922578811645508
13,This led to both the Red Terror and the White Terror., This led to both the red tear and the white tear.,0.36363636363636365,1.1685223579406738
14,The Sacramento Valley Rail Station is just a short walk away., The Sacramento Valley Rail Station is just a short walk away.,0.0,1.172426700592041
15,"The most recent presidents of the United States are Donald Trump, Barack Obama, and George W. Bush."," The most recent presidents of the United States are Donald Trump, Barack Obama and George W. Bush.",0.058823529411764705,1.415146827697754
16,There was nothing to hold him back except himself., There was nothing to hold him back except himself.,0.0,1.127645492553711
17,These locomotives are serviced at Washwood Heath., These locomotives are serviced at Washwood Heath.,0.0,1.1707067489624023
18,It might be in this writer's Top Ten!, It might be in this writer's top 10.,0.25,1.1189234256744385
19,We spoke often., We spoke of them.,0.6666666666666666,0.9984016418457031
20,Mrs. Lewis was selected as the new commissioner., Mrs. Lewis was selected as the new commissioner.,0.0,1.1276330947875977
21,The electrician looked puzzled., cleanthe decoration with grunts,1.0,6.553083419799805
22,The ladder on the fire truck was not long enough., A ladder on the fire truck was not long enough.,0.1,1.1504673957824707
23,I will tell her what we decided., I will tell her what we decided.,0.0,1.0763294696807861
24,Enoxaparin belongs to the class of drugs known as low molecular weight heparins.," Hello, this one, a lot of Perien belongs to the class includes the one that's going to be a good happen.",1.3076923076923077,1.511579990386963
25,"I guess, it's a never-ending story.", I guess it's a never-ending story.,0.16666666666666666,1.1218841075897217
26,Good things come in small packages., Good things coming small packages.,0.3333333333333333,1.0248162746429443
27,It is a member theater of the Union of the Theatres of Europe., It is a member theater of the Union of the theaters of Europe.,0.07692307692307693,1.2193427085876465
28,"I like apples, pears, and pomegranate, but I do like strawberries or grapes."," I like apples, pears, and pomegranate, but I do like strawberries or grapes.",0.0,1.3894062042236328
29,YOU WANNA TAKE THIS OUTSIDE?, You wanna take this outside.,1.0,1.022230625152588
30,The immersion in hot water also kills the silkworm pupa., The immersion in hot water also kills the sick form. Pumba.,0.3,1.2899110317230225
31,"She married her business partner, Steve Lane.", She married her business partner Stephen Lee.,0.42857142857142855,1.0757348537445068
32,Who has already arrived?, who has already arrived!,0.5,8.430333852767944
33,The attack on our root server overstrained our senior administrator.," that it takes on your road server of our strain, our senior administrator.",0.8,1.2452754974365234
34,Do you want me?, Do you want me?,0.0,0.9997470378875732
35,That would be funny if he did., That would be funny if you did.,0.14285714285714285,1.0689020156860352
36,"Although she had flowers and applause, Mavis said she was not content."," Although she had flowers and applause, maybe said she was not content.",0.08333333333333333,1.2145648002624512
37,"When the user's identity has been accepted by the server, you will be notified."," When the user's identity has been accepted by the server, you will be notified.",0.0,1.2960638999938965
38,Madin was a significant figure of post-war Birmingham architecture., Madden was a significant figure of post-war Birmingham architecture.,0.1111111111111111,1.1723873615264893
39,Add the column and put the sum here., Add the column and put the sum here.,0.0,1.0974063873291016
40,"Hello, Benjamin.", Hello Benjamin.,0.5,0.9478750228881836
41,"After playing tennis in virtual reality, he felt dizzy.", After playing tennis and virtual reality he felt dizzy.,0.2222222222222222,1.1440086364746094
42,A mansion was usually set on a one square., A mention was usually sheet on a 1 square.,0.3333333333333333,1.118699550628662
43,Have you the key?, Have you the key?,0.0,0.9948878288269043
44,Rapidan Campaign May–June.," You don't campaign me, June.",1.6666666666666667,1.0692925453186035
45,"Alston commented that he felt the cartoonist ""might have had some racial intent"".", Alston commented that he felt the cartoonist might have had some racial intent.,0.15384615384615385,1.2683758735656738
46,Doing a handstand needs a lot of practice to learn., Doing a handstand needs a lot of practice to learn.,0.0,1.170046091079712
47,Man in red tshirt and baseball cap viewed from above he is has a pile of posters, Man in reality shirt and baseball cap viewed from above he has a pile of posture,0.23529411764705882,1.2630751132965088
48,The two films were then released within one day of each other., The two films were then released within one day of each other.,0.0,1.1978871822357178
49,‘What did he say his name was?’ asked the captain., What did he say his name was asked the captain?,0.3,1.1563503742218018
50,"At the hospital, I met a very nice nurse.", Got me hospital. I met a very nice nurse.,0.3333333333333333,1.1500217914581299
