,sample,prediction,WER,runtime
0,"Joe Keaton disapproved of films, and Buster also had reservations about the medium.",Joe Keaton disapproved of films and Buster also had reservations about the medium.,0.07692307692307693,5.423161268234253
1,She'll be all right.,She'd be all right.,0.25,5.130879878997803
2,six,Six.,1.0,4.943113565444946
3,All's well that ends well.,"All is well, that ends well.",0.6,5.113055944442749
4,It is a busy market town that serves a large surrounding area.,It is a busy market town that serves a large surrounded area.,0.08333333333333333,5.404505729675293
5,We are going to the football game tonight.,We are going to the football game tonight.,0.0,5.240584373474121
6,Elizabeth was about the same age as Maria.,Elizabeth was about the same age as Maria,0.125,5.625460624694824
7,Do you mean it?,Do you mean it?,0.0,5.213958740234375
8,How is Mozilla going to handle ambiguities like queue and cue?,"How is Mozilla going to handle and be with ease, like Q and Q?",0.5454545454545454,5.515941381454468
9,You are so rude!,You are so rude.,0.25,5.301146507263184
10,I guess you must think I'm kinda batty.,,1.0,5.400802135467529
11,No one near the remote machine you could ring?,No one near the remote machine you could ring.,0.1111111111111111,5.2611918449401855
12,Groves started writing songs when she was four years old.,Graves started writing songs when she was four years old.,0.1,5.397018909454346
13,This led to both the Red Terror and the White Terror.,This led to both the red tear and the white tear.,0.36363636363636365,5.401335716247559
14,The Sacramento Valley Rail Station is just a short walk away.,The Sacramento Valley Rail Station is just a short walk away.,0.0,5.345237731933594
15,"The most recent presidents of the United States are Donald Trump, Barack Obama, and George W. Bush.","The most recent presidents of the United States are Donald Trump, Barack Obama, and George W. Bush.",0.0,5.5097057819366455
16,There was nothing to hold him back except himself.,There was nothing to hold him back except himself.,0.0,5.276560306549072
17,These locomotives are serviced at Washwood Heath.,These locomotives are serviced at Washwood Heath.,0.0,5.332449674606323
18,It might be in this writer's Top Ten!,It might be in this writer's top 10.,0.25,5.167653560638428
19,We spoke often.,We spoke often.,0.0,5.05708646774292
20,Mrs. Lewis was selected as the new commissioner.,Mrs. Lewis was selected as the new commissioner.,0.0,5.293179035186768
21,The electrician looked puzzled.,the definition,1.0,5.431110143661499
22,The ladder on the fire truck was not long enough.,The leather on the fire truck was not long enough.,0.1,5.218685150146484
23,I will tell her what we decided.,I will tell her what we decided.,0.0,5.114789962768555
24,Enoxaparin belongs to the class of drugs known as low molecular weight heparins.,"Hello, good morning. A lot of sparing belongs to the class of Christian owners who are not here yet for the next time.",1.3846153846153846,5.735228538513184
25,"I guess, it's a never-ending story.",I guess it's a never ending story.,0.5,5.162687063217163
26,Good things come in small packages.,Good things come in small packages.,0.0,5.129769802093506
27,It is a member theater of the Union of the Theatres of Europe.,"It is a member theater of the Union, of the theaters of Europe.",0.15384615384615385,5.31501030921936
28,"I like apples, pears, and pomegranate, but I do like strawberries or grapes.","I like apples, pears, and pomegranate, but I do like strawberries or grapes.",0.0,5.6652891635894775
29,YOU WANNA TAKE THIS OUTSIDE?,You wanna take this outside.,1.0,5.117470979690552
30,The immersion in hot water also kills the silkworm pupa.,The immersion in hot water also kills a sick worm poopa.,0.4,5.37697696685791
31,"She married her business partner, Steve Lane.","She married her business partner, Steven Lee.",0.2857142857142857,5.151275634765625
32,Who has already arrived?,Who has already arrived?,0.0,5.102644443511963
33,The attack on our root server overstrained our senior administrator.,That it take on your road server over strain our senior administrator,0.8,5.281337261199951
34,Do you want me?,Do you want me?,0.0,5.0879034996032715
35,That would be funny if he did.,That would be funny if he did.,0.0,5.176453113555908
36,"Although she had flowers and applause, Mavis said she was not content.","Although she had flowers and applause, maybe said she was not content.",0.08333333333333333,5.369644403457642
37,"When the user's identity has been accepted by the server, you will be notified.","When the user's identity has been accepted by the server, you will be notified.",0.0,5.3780436515808105
38,Madin was a significant figure of post-war Birmingham architecture.,Madden was a significant figure of post-war Birmingham architecture.,0.1111111111111111,5.359078645706177
39,Add the column and put the sum here.,Add the column and put the sum here.,0.0,5.2029030323028564
40,"Hello, Benjamin.",Hello Benjamin.,0.5,5.002640962600708
41,"After playing tennis in virtual reality, he felt dizzy.","After playing tennis in virtual reality, he felt dizzy.",0.0,5.286559343338013
42,A mansion was usually set on a one square.,The mention was usually set on a one square.,0.2222222222222222,5.219801187515259
43,Have you the key?,Have you the key?,0.0,5.057231664657593
44,Rapidan Campaign May–June.,with them campaign made too,1.6666666666666667,5.198453664779663
45,"Alston commented that he felt the cartoonist ""might have had some racial intent"".",Alstone commented that he felt the cartoonist might have had some racial intent.,0.23076923076923078,5.524915933609009
46,Doing a handstand needs a lot of practice to learn.,Doing a handstand needs a lot of practice to learn.,0.0,5.339406251907349
47,Man in red tshirt and baseball cap viewed from above he is has a pile of posters,Man in red t-shirt and baseball cap viewed from above he is has a pile of posture,0.11764705882352941,5.5719685554504395
48,The two films were then released within one day of each other.,The two films were then released within one day of each other.,0.0,5.363643169403076
49,‘What did he say his name was?’ asked the captain.,What did he say his name was asked the captain,0.3,5.346896648406982
50,"At the hospital, I met a very nice nurse.",At the hospital I met a very nice nurse.,0.1111111111111111,5.267193794250488
51,yes,Yes.,1.0,4.993788003921509
52,He received his Ph.,He received his pH dot.,0.5,5.147671699523926
53,"Since their inception, Harris has been the band's principal composer and lyricist.",[ Foreign Language ],1.0,5.992956638336182
54,"After experiencing a mind-blowing sensual orgy, Mike was sure he had taken an overdose.","After experiencing a mind-blowing sensual orgy, Mike's was sure he had taken all of her dose.",0.35714285714285715,5.567264080047607
55,Religious festivals include the Muslim Eids and the Christian Christmas and Easter.,Religious festivals include the Muslim Eats and the Christian Christmas and Easter.,0.08333333333333333,5.438951730728149
56,"What do you advise, sir?","What do you advise, sir?",0.0,5.134246587753296
57,"Charles looked on, angry that there was nothing he could do.","Charles looked on, angry that there was nothing he could do.",0.0,5.258158445358276
58,Alexandria and Texas were shut down mid-season.,Alexandria and Texas were shut down mid-season.,0.0,5.296380281448364
59,"Karina Smirnoff of ""Dancing With The Stars"" hosted the following month.",Karina Smurunov of Dancing with the Stars hosted the following month,0.5454545454545454,5.430568218231201
60,It is inhibited by the pneumotaxic centre.,It is inhibited by the pneumotoxic center.,0.2857142857142857,5.273332595825195
61,Her intro later appeared on the David Holmes Essential Collection.,Her intro later appeared on the David Holmes Essential Collection.,0.0,5.26299524307251
62,An important person in the life of Emile Claus was the painter Jenny Montigny.,An important person in the life of a male cross was the painter Jamie Montegni.,0.35714285714285715,5.413928747177124
63,"In the United States, Federal Vehicle fleets refers to the federal government's vehicles.","In the United States, federal vehicle fleets refer to the federal government's vehicles.",0.23076923076923078,5.525012731552124
64,There is also a garnet mine in West Redding.,There is also a garnet mine in West Reading.,0.1111111111111111,5.354112863540649
65,"They hastily drive to the plane, and flee from the dangers of the mob.",They hastily drive to the plane and flee from the dangers of the mob.,0.07142857142857142,5.428805828094482
66,"It was won by a woman from Vara, Sweden.","It was won by a woman from Barra, Sweden.",0.1111111111111111,5.351660251617432
67,The prints are then delivered to the customer.,The prints are then delivered to the customers.,0.125,5.171611309051514
68,There was a long silence.,There was a long silence.,0.0,5.143751859664917
69,Maybe he just put it there for safe keeping?,Maybe he just put it there for safekeeping.,0.2222222222222222,5.270951747894287
70,"In spite of this, I still believed that there were men in Mars.",In spite of this I still believe that there were men and marks.,0.3076923076923077,5.414187908172607
71,"The land was ruined, and I had to find some other way to earn a living.",The land was failed. I had to find some other way to earn money.,0.25,5.520199775695801
72,"I pointed out Mars, a bright dot of light.","I pointed out Mars, a bright dot of light.",0.0,5.312104225158691
73,I wondered if those birds were redwings?,I wondered if those birds were red wings.,0.2857142857142857,5.209150552749634
74,The state plans to re-work those curves to improve safety.,The state plans to rework those curves to improve safety.,0.1,5.380563974380493
75,He ended up running to the bars which fortified the windows of the first floor.,He ended up running to the bars which fortified the windows of the first floor.,0.0,5.493534803390503
76,"She takes him to the lift, sending him downwards.","She takes him to the leaf, sending him downwards.",0.1111111111111111,5.272931098937988
77,"I know why I want to get back to my flock, he thought.","""I know why I want to get back to my block,"" he thought.",0.15384615384615385,5.511032581329346
78,She is married to the rapper and playwright Baba Brinkman.,She is married to the rapper and playwright Baba Brinkman.,0.0,5.438776731491089
